id_venta,producto,precio,cantidad,fecha_venta,categoria
2245,3,1400,8.0,1970-01-01 00:00:00.000000335,2
2653,27,559,6.0,1970-01-01 00:00:00.000000335,2
2870,7,1892,1.0,1970-01-01 00:00:00.000000335,2
2938,26,597,1.0,1970-01-01 00:00:00.000000335,2
2953,27,554,12.0,1970-01-01 00:00:00.000000335,2
1046,25,233,11.0,1970-01-01 00:00:00.000000347,1
1886,25,1252,1.0,1970-01-01 00:00:00.000000347,1
1965,18,1129,7.0,1970-01-01 00:00:00.000000347,1
2005,3,1480,4.0,1970-01-01 00:00:00.000000347,2
2273,27,1546,2.0,1970-01-01 00:00:00.000000347,2
2522,29,2461,2.0,1970-01-01 00:00:00.000000347,2
2784,28,1084,9.0,1970-01-01 00:00:00.000000347,2
2945,3,394,1.0,1970-01-01 00:00:00.000000347,2
50,0,2179,5.0,1970-01-01 00:00:00.000000358,0
162,9,1549,5.0,1970-01-01 00:00:00.000000358,0
259,19,2061,11.0,1970-01-01 00:00:00.000000358,0
277,11,1364,7.0,1970-01-01 00:00:00.000000358,0
852,9,2064,4.0,1970-01-01 00:00:00.000000358,0
1185,18,2400,1.0,1970-01-01 00:00:00.000000358,1
1210,22,47,10.0,1970-01-01 00:00:00.000000358,1
1254,2,1930,11.0,1970-01-01 00:00:00.000000358,1
1481,13,571,12.0,1970-01-01 00:00:00.000000358,1
1898,5,1651,9.0,1970-01-01 00:00:00.000000358,1
2185,3,922,11.0,1970-01-01 00:00:00.000000358,2
2752,3,524,5.0,1970-01-01 00:00:00.000000358,2
2916,17,2435,2.0,1970-01-01 00:00:00.000000358,2
733,12,1150,2.0,1970-01-01 00:00:00.000000000,0
848,24,2144,10.0,1970-01-01 00:00:00.000000000,0
1102,5,207,2.0,1970-01-01 00:00:00.000000000,1
1764,2,324,10.0,1970-01-01 00:00:00.000000000,1
1813,20,2327,5.0,1970-01-01 00:00:00.000000000,1
2069,23,1988,12.0,1970-01-01 00:00:00.000000000,2
2474,3,617,8.0,1970-01-01 00:00:00.000000000,2
2680,7,2343,2.0,1970-01-01 00:00:00.000000000,2
380,0,1188,10.0,1970-01-01 00:00:00.000000012,0
557,11,228,6.0,1970-01-01 00:00:00.000000012,0
828,24,715,7.0,1970-01-01 00:00:00.000000012,0
829,19,1077,12.0,1970-01-01 00:00:00.000000012,0
1600,22,1242,10.0,1970-01-01 00:00:00.000000012,1
2079,23,307,6.0,1970-01-01 00:00:00.000000012,2
2115,3,666,9.0,1970-01-01 00:00:00.000000012,2
2133,27,2304,2.0,1970-01-01 00:00:00.000000012,2
2329,23,1628,7.0,1970-01-01 00:00:00.000000012,2
2476,17,240,7.0,1970-01-01 00:00:00.000000012,2
2548,26,232,10.0,1970-01-01 00:00:00.000000012,2
211,19,771,8.0,1970-01-01 00:00:00.000000024,0
541,19,1996,10.0,1970-01-01 00:00:00.000000024,0
695,1,1341,2.0,1970-01-01 00:00:00.000000024,0
1336,25,1109,7.0,1970-01-01 00:00:00.000000024,1
1499,4,2021,4.0,1970-01-01 00:00:00.000000024,1
2007,10,449,9.0,1970-01-01 00:00:00.000000024,2
2068,26,1285,4.0,1970-01-01 00:00:00.000000024,2
2758,26,2128,6.0,1970-01-01 00:00:00.000000024,2
2851,21,270,2.0,1970-01-01 00:00:00.000000024,2
64,16,105,10.0,1970-01-01 00:00:00.000000036,0
763,12,468,3.0,1970-01-01 00:00:00.000000036,0
1424,2,1808,10.0,1970-01-01 00:00:00.000000036,1
1455,18,999,10.0,1970-01-01 00:00:00.000000036,1
1456,25,2211,3.0,1970-01-01 00:00:00.000000036,1
2315,3,236,4.0,1970-01-01 00:00:00.000000036,2
2832,29,1285,4.0,1970-01-01 00:00:00.000000036,2
24,16,1845,12.0,1970-01-01 00:00:00.000000048,0
40,0,6,10.0,1970-01-01 00:00:00.000000048,0
347,11,2191,12.0,1970-01-01 00:00:00.000000048,0
911,19,878,4.0,1970-01-01 00:00:00.000000048,0
1451,13,1263,4.0,1970-01-01 00:00:00.000000048,1
1855,18,613,8.0,1970-01-01 00:00:00.000000048,1
1961,13,2147,1.0,1970-01-01 00:00:00.000000048,1
2378,26,1891,1.0,1970-01-01 00:00:00.000000048,2
2426,17,1241,4.0,1970-01-01 00:00:00.000000048,2
1064,2,1688,9.0,1970-01-01 00:00:00.000000060,1
1313,20,2165,9.0,1970-01-01 00:00:00.000000060,1
1848,5,612,4.0,1970-01-01 00:00:00.000000060,1
2267,10,1511,10.0,1970-01-01 00:00:00.000000060,2
2438,26,1193,3.0,1970-01-01 00:00:00.000000060,2
2566,17,1848,9.0,1970-01-01 00:00:00.000000060,2
2617,10,2336,9.0,1970-01-01 00:00:00.000000060,2
2627,10,70,5.0,1970-01-01 00:00:00.000000060,2
381,19,652,3.0,1970-01-01 00:00:00.000000072,0
393,12,580,7.0,1970-01-01 00:00:00.000000072,0
662,9,1087,12.0,1970-01-01 00:00:00.000000072,0
770,0,90,5.0,1970-01-01 00:00:00.000000072,0
895,1,64,2.0,1970-01-01 00:00:00.000000072,0
1340,22,1262,10.0,1970-01-01 00:00:00.000000072,1
1422,5,260,2.0,1970-01-01 00:00:00.000000072,1
1554,2,658,3.0,1970-01-01 00:00:00.000000072,1
2584,3,1104,6.0,1970-01-01 00:00:00.000000072,2
163,12,772,12.0,1970-01-01 00:00:00.000000084,0
367,11,1217,2.0,1970-01-01 00:00:00.000000084,0
745,1,1311,12.0,1970-01-01 00:00:00.000000084,0
850,0,317,9.0,1970-01-01 00:00:00.000000084,0
971,19,2094,8.0,1970-01-01 00:00:00.000000084,0
1501,13,1532,4.0,1970-01-01 00:00:00.000000084,1
1529,4,2072,10.0,1970-01-01 00:00:00.000000084,1
2618,26,1686,11.0,1970-01-01 00:00:00.000000084,2
809,19,1524,4.0,1970-01-01 00:00:00.000000096,0
1371,13,2479,4.0,1970-01-01 00:00:00.000000096,1
1791,13,1343,9.0,1970-01-01 00:00:00.000000096,1
2294,3,1421,9.0,1970-01-01 00:00:00.000000096,2
2668,26,2521,4.0,1970-01-01 00:00:00.000000096,2
2718,26,267,11.0,1970-01-01 00:00:00.000000096,2
135,1,2047,1.0,1970-01-01 00:00:00.000000108,0
212,9,1387,12.0,1970-01-01 00:00:00.000000108,0
229,19,2583,3.0,1970-01-01 00:00:00.000000108,0
737,11,439,3.0,1970-01-01 00:00:00.000000108,0
840,0,2377,9.0,1970-01-01 00:00:00.000000108,0
949,19,2269,1.0,1970-01-01 00:00:00.000000108,0
1294,2,669,9.0,1970-01-01 00:00:00.000000108,1
1436,25,1177,11.0,1970-01-01 00:00:00.000000108,1
1696,25,403,12.0,1970-01-01 00:00:00.000000108,1
2013,27,1289,12.0,1970-01-01 00:00:00.000000108,2
2203,27,1546,5.0,1970-01-01 00:00:00.000000108,2
2873,27,1951,5.0,1970-01-01 00:00:00.000000108,2
2973,27,2537,1.0,1970-01-01 00:00:00.000000108,2
43,12,2124,2.0,1970-01-01 00:00:00.000000120,0
205,1,221,4.0,1970-01-01 00:00:00.000000120,0
417,11,932,2.0,1970-01-01 00:00:00.000000120,0
462,9,255,8.0,1970-01-01 00:00:00.000000120,0
1730,22,39,10.0,1970-01-01 00:00:00.000000120,1
1901,13,2178,6.0,1970-01-01 00:00:00.000000120,1
2440,7,278,8.0,1970-01-01 00:00:00.000000120,2
2952,29,332,5.0,1970-01-01 00:00:00.000000120,2
362,9,1882,12.0,1970-01-01 00:00:00.000000132,0
952,9,1886,11.0,1970-01-01 00:00:00.000000132,0
970,0,975,3.0,1970-01-01 00:00:00.000000132,0
1963,20,2497,3.0,1970-01-01 00:00:00.000000132,1
2122,29,2528,9.0,1970-01-01 00:00:00.000000132,2
2334,3,1506,4.0,1970-01-01 00:00:00.000000132,2
2714,3,1948,10.0,1970-01-01 00:00:00.000000132,2
116,8,1043,3.0,1970-01-01 00:00:00.000000144,0
2379,23,216,12.0,1970-01-01 00:00:00.000000144,2
2669,23,681,3.0,1970-01-01 00:00:00.000000144,2
2739,23,1642,10.0,1970-01-01 00:00:00.000000144,2
2766,17,820,11.0,1970-01-01 00:00:00.000000144,2
2829,23,874,5.0,1970-01-01 00:00:00.000000144,2
151,19,341,7.0,1970-01-01 00:00:00.000000156,0
366,8,2411,1.0,1970-01-01 00:00:00.000000156,0
406,8,1685,1.0,1970-01-01 00:00:00.000000156,0
884,16,2174,10.0,1970-01-01 00:00:00.000000156,0
1488,5,2096,2.0,1970-01-01 00:00:00.000000156,1
1946,25,1803,6.0,1970-01-01 00:00:00.000000156,1
2154,3,1192,12.0,1970-01-01 00:00:00.000000156,2
2571,21,614,5.0,1970-01-01 00:00:00.000000156,2
2871,21,28,7.0,1970-01-01 00:00:00.000000156,2
282,9,2277,7.0,1970-01-01 00:00:00.000000168,0
457,11,989,1.0,1970-01-01 00:00:00.000000168,0
946,8,243,7.0,1970-01-01 00:00:00.000000168,0
1353,20,2558,2.0,1970-01-01 00:00:00.000000168,1
2782,29,1627,8.0,1970-01-01 00:00:00.000000168,2
2979,23,1702,7.0,1970-01-01 00:00:00.000000168,2
1070,22,1256,5.0,1970-01-01 00:00:00.000000180,1
1265,18,542,5.0,1970-01-01 00:00:00.000000180,1
1798,5,2543,2.0,1970-01-01 00:00:00.000000180,1
2304,3,1154,8.0,1970-01-01 00:00:00.000000180,2
2595,3,2145,2.0,1970-01-01 00:00:00.000000180,2
2825,3,1038,4.0,1970-01-01 00:00:00.000000180,2
727,11,228,6.0,1970-01-01 00:00:00.000000192,0
913,12,1547,4.0,1970-01-01 00:00:00.000000192,0
1346,25,1664,4.0,1970-01-01 00:00:00.000000192,1
1623,20,2486,4.0,1970-01-01 00:00:00.000000192,1
1924,2,985,9.0,1970-01-01 00:00:00.000000192,1
2246,17,1983,10.0,1970-01-01 00:00:00.000000192,2
2255,3,1890,8.0,1970-01-01 00:00:00.000000192,2
2345,3,1601,4.0,1970-01-01 00:00:00.000000192,2
275,1,940,8.0,1970-01-01 00:00:00.000000204,0
276,8,2560,10.0,1970-01-01 00:00:00.000000204,0
436,8,2007,7.0,1970-01-01 00:00:00.000000204,0
492,9,535,5.0,1970-01-01 00:00:00.000000204,0
658,24,2493,8.0,1970-01-01 00:00:00.000000204,0
694,16,2497,10.0,1970-01-01 00:00:00.000000204,0
1081,13,2473,4.0,1970-01-01 00:00:00.000000204,1
1115,18,2512,3.0,1970-01-01 00:00:00.000000204,1
1510,22,2095,10.0,1970-01-01 00:00:00.000000204,1
2136,17,1595,2.0,1970-01-01 00:00:00.000000204,2
2302,29,1820,5.0,1970-01-01 00:00:00.000000204,2
2837,10,1643,1.0,1970-01-01 00:00:00.000000204,2
83,12,34,6.0,1970-01-01 00:00:00.000000216,0
252,9,285,8.0,1970-01-01 00:00:00.000000216,0
428,24,1944,11.0,1970-01-01 00:00:00.000000216,0
728,24,1523,2.0,1970-01-01 00:00:00.000000216,0
878,24,741,12.0,1970-01-01 00:00:00.000000216,0
52,9,1366,10.0,1970-01-01 00:00:00.000000228,0
387,11,2010,12.0,1970-01-01 00:00:00.000000228,0
722,9,2218,5.0,1970-01-01 00:00:00.000000228,0
1409,4,2069,4.0,1970-01-01 00:00:00.000000228,1
1568,5,2570,10.0,1970-01-01 00:00:00.000000228,1
1788,5,1183,4.0,1970-01-01 00:00:00.000000228,1
2077,10,720,4.0,1970-01-01 00:00:00.000000228,2
2706,17,1333,2.0,1970-01-01 00:00:00.000000228,2
2900,7,1639,2.0,1970-01-01 00:00:00.000000228,2
2992,27,423,8.0,1970-01-01 00:00:00.000000228,2
288,24,1545,11.0,1970-01-01 00:00:00.000000240,0
408,24,1638,7.0,1970-01-01 00:00:00.000000240,0
720,0,2345,1.0,1970-01-01 00:00:00.000000240,0
1031,13,467,6.0,1970-01-01 00:00:00.000000240,1
1186,25,2100,9.0,1970-01-01 00:00:00.000000240,1
1453,20,1574,5.0,1970-01-01 00:00:00.000000240,1
1660,22,931,12.0,1970-01-01 00:00:00.000000240,1
1700,22,1957,6.0,1970-01-01 00:00:00.000000240,1
1820,22,1180,12.0,1970-01-01 00:00:00.000000240,1
2083,27,842,8.0,1970-01-01 00:00:00.000000240,2
2742,29,1276,3.0,1970-01-01 00:00:00.000000240,2
2903,27,1406,6.0,1970-01-01 00:00:00.000000240,2
707,11,1657,1.0,1970-01-01 00:00:00.000000252,0
888,24,946,12.0,1970-01-01 00:00:00.000000252,0
891,19,1158,4.0,1970-01-01 00:00:00.000000252,0
928,24,309,5.0,1970-01-01 00:00:00.000000252,0
1508,5,655,1.0,1970-01-01 00:00:00.000000252,1
1582,5,1409,7.0,1970-01-01 00:00:00.000000252,1
2056,17,2566,11.0,1970-01-01 00:00:00.000000252,2
2883,27,1556,12.0,1970-01-01 00:00:00.000000252,2
86,8,956,12.0,1970-01-01 00:00:00.000000264,0
92,9,919,3.0,1970-01-01 00:00:00.000000264,0
199,19,800,1.0,1970-01-01 00:00:00.000000264,0
269,19,1730,1.0,1970-01-01 00:00:00.000000264,0
752,9,274,11.0,1970-01-01 00:00:00.000000264,0
1323,20,1368,8.0,1970-01-01 00:00:00.000000264,1
